scan_date,代碼,股票名稱,entry_price,訊號類型,訊號分數,追蹤等級,RS加權報酬%,MA位置,MA排列,K值,D值,週K值,週D值,MACD柱,趨勢突破,量能倍數,status,source_file,days_tracked,return_3d%,return_5d%,return_10d%,max_gain_5d%,max_drawdown_5d%,max_gain_10d%,max_drawdown_10d%,is_success_5d,return_1d%,return_20d%,max_gain_20d%,max_drawdown_20d%
2026-07-29,2412.TW,中華電,140.5,週黃金交叉,68.0,B可追蹤,0.19,>MA5,多頭,82.4,77.8,47.7,47.7,0.5796,-,-,tracking,signal_tracking_20260730.csv,1.0,,,,0.36,-1.42,0.36,-1.42,0.0,0.0,,0.36,-1.42
2026-07-29,2530.TW,華建,20.65,趨勢突破,100.0,A強勢追蹤,1.9,>MA5,多頭,70.6,64.6,64.9,50.1,0.1208,趨勢突破,2.88,tracking,signal_tracking_20260730.csv,1.0,,,,2.18,-1.21,2.18,-1.21,0.0,2.18,,2.18,-1.21
2026-07-29,2540.TW,愛山林,57.8,週黃金交叉,92.0,A強勢追蹤,2.99,>MA5,多頭,69.3,58.9,55.3,45.7,0.3661,-,-,tracking,signal_tracking_20260730.csv,1.0,,,,3.63,-0.69,3.63,-0.69,0.0,1.9,,3.63,-0.69
2026-07-29,2615.TW,萬海,85.0,即將黃金交叉,58.0,C觀察,1.65,>MA5,多頭,63.1,64.7,67.0,61.8,0.4421,-,-,tracking,signal_tracking_20260730.csv,1.0,,,,1.41,-1.29,1.41,-1.29,0.0,-0.71,,1.41,-1.29
2026-07-29,2849.TW,安泰銀,15.35,黃金交叉、週黃金交叉、MACD翻正,100.0,A強勢追蹤,2.42,>MA5,糾結,68.3,60.3,87.6,86.6,0.0163,-,-,tracking,signal_tracking_20260730.csv,1.0,,,,0.65,-0.98,0.65,-0.98,0.0,-0.33,,0.65,-0.98
2026-07-29,2867.TW,三商壽,9.37,即將黃金交叉,60.0,C觀察,2.82,>MA5,多頭,64.0,66.9,84.2,78.0,0.0121,-,-,tracking,signal_tracking_20260730.csv,1.0,,,,3.52,-0.75,3.52,-0.75,0.0,2.24,,3.52,-0.75
2026-07-29,2880.TW,華南金,41.8,即將黃金交叉,60.0,C觀察,2.98,>MA5,多頭,83.7,85.8,89.9,80.3,0.069,-,-,tracking,signal_tracking_20260730.csv,1.0,,,,2.03,-1.56,2.03,-1.56,0.0,2.03,,2.03,-1.56
2026-07-29,2884.TW,玉山金,36.5,黃金交叉,82.0,A強勢追蹤,2.38,>MA5,多頭,69.6,68.9,77.5,68.6,0.0868,-,-,tracking,signal_tracking_20260730.csv,1.0,,,,3.56,-0.41,3.56,-0.41,0.0,3.29,,3.56,-0.41
2026-07-29,2903.TW,遠百,22.35,趨勢突破,89.0,A強勢追蹤,0.73,>MA5,糾結,63.7,61.5,29.9,35.7,0.0306,趨勢突破,1.82,tracking,signal_tracking_20260730.csv,1.0,,,,1.12,-0.45,1.12,-0.45,0.0,0.89,,1.12,-0.45
2026-07-29,2912.TW,統一超,241.0,黃金交叉,59.0,C觀察,1.7,>MA5,糾結,47.6,46.5,72.8,64.9,-0.7201,-,-,tracking,signal_tracking_20260730.csv,1.0,,,,-2.49,-7.05,-2.49,-7.05,0.0,-4.56,,-2.49,-7.05
2026-07-29,3231.TW,緯創,169.5,週即將黃金交叉,71.0,B可追蹤,2.12,MA5~10,多頭,73.1,70.4,43.3,43.4,2.9951,-,-,tracking,signal_tracking_20260730.csv,1.0,,,,0.59,-7.08,0.59,-7.08,0.0,-5.6,,0.59,-7.08
2026-07-29,3260.TWO,威剛,394.0,週即將黃金交叉、MACD翻正,71.0,B可追蹤,0.61,>MA5,糾結,65.5,55.9,31.1,31.1,0.6067,-,-,tracking,signal_tracking_20260730.csv,1.0,,,,3.68,-4.57,3.68,-4.57,0.0,-3.93,,3.68,-4.57
2026-07-29,3441.TWO,聯一光,77.2,漲幅達標、MACD翻正,62.0,C觀察,4.11,>MA5,糾結,63.1,39.7,55.4,63.9,0.0032,-,-,tracking,signal_tracking_20260729.csv,1.0,,,,17.23,-1.04,17.23,-1.04,0.0,-1.04,,17.23,-1.04
2026-07-29,4904.TW,遠傳,106.5,週黃金交叉,68.0,B可追蹤,1.43,>MA5,多頭,80.2,76.9,58.8,56.7,0.8373,-,-,tracking,signal_tracking_20260730.csv,1.0,,,,0.0,-2.35,0.0,-2.35,0.0,-0.94,,0.0,-2.35
2026-07-29,4976.TW,佳凌,37.7,漲幅達標、MACD翻正、趨勢突破,100.0,A強勢追蹤,4.62,>MA5,糾結,56.5,32.2,39.9,48.6,0.031,趨勢突破,3.94,tracking,signal_tracking_20260730.csv,1.0,,,,8.75,-9.95,8.75,-9.95,0.0,-9.95,,8.75,-9.95
2026-07-29,5490.TWO,同亨,33.15,週黃金交叉,88.0,A強勢追蹤,2.7,>MA5,多頭,67.1,64.3,61.2,56.6,0.2506,-,-,tracking,signal_tracking_20260730.csv,1.0,,,,-0.45,-9.5,-0.45,-9.5,0.0,-5.73,,-0.45,-9.5
2026-07-29,5531.TW,鄉林,7.9,週即將黃金交叉、MACD翻正、趨勢突破,100.0,A強勢追蹤,0.47,>MA5,空頭,49.8,39.9,24.1,26.5,0.0029,趨勢突破,2.97,tracking,signal_tracking_20260730.csv,1.0,,,,0.76,-1.9,0.76,-1.9,0.0,-1.9,,0.76,-1.9
2026-07-29,5904.TWO,寶雅,720.0,週即將黃金交叉、MACD翻正,78.0,A強勢追蹤,4.19,>MA5,糾結,66.8,50.8,65.8,68.5,1.7477,-,-,tracking,signal_tracking_20260730.csv,,,,,,,,,,,,,
2026-07-29,6603.TWO,富強鑫,26.2,MACD翻正、趨勢突破,100.0,A強勢追蹤,2.52,>MA5,糾結,75.5,59.0,62.0,53.4,0.0633,趨勢突破,2.87,tracking,signal_tracking_20260730.csv,1.0,,,,1.91,-6.11,1.91,-6.11,0.0,-5.34,,1.91,-6.11
2026-07-29,8050.TWO,廣積,60.8,黃金交叉、週黃金交叉,93.0,A強勢追蹤,3.12,>MA5,多頭,59.6,57.1,61.5,60.4,-0.0544,-,-,tracking,signal_tracking_20260730.csv,1.0,,,,-0.99,-9.87,-0.99,-9.87,0.0,-9.87,,-0.99,-9.87
2026-07-29,8114.TW,振樺電,209.5,週即將黃金交叉,55.0,C觀察,2.17,MA5~10,多頭,54.1,57.0,34.0,34.3,2.3451,-,-,tracking,signal_tracking_20260730.csv,1.0,,,,-2.39,-9.79,-2.39,-9.79,0.0,-8.59,,-2.39,-9.79
2026-07-29,8271.TW,宇瞻,222.5,漲幅達標、週黃金交叉、趨勢突破,100.0,A強勢追蹤,7.11,>MA5,多頭,81.0,74.7,40.2,35.9,4.8673,趨勢突破,2.69,tracking,signal_tracking_20260730.csv,1.0,,,,2.92,-9.89,2.92,-9.89,0.0,-8.31,,2.92,-9.89
2026-07-29,9917.TW,中保科,111.0,趨勢突破,89.0,A強勢追蹤,1.78,>MA5,多頭,78.3,71.1,28.7,31.8,0.6823,趨勢突破,2.61,tracking,signal_tracking_20260730.csv,1.0,,,,0.0,-0.9,0.0,-0.9,0.0,0.0,,0.0,-0.9
2026-07-29,9939.TW,宏全,130.0,週即將黃金交叉,66.0,B可追蹤,0.13,>MA5,多頭,59.9,66.5,63.5,64.6,0.3505,-,-,tracking,signal_tracking_20260730.csv,1.0,,,,0.0,-2.31,0.0,-2.31,0.0,-0.77,,0.0,-2.31
2026-07-29,9940.TW,信義,20.8,黃金交叉,71.0,B可追蹤,2.11,>MA5,多頭,76.8,70.0,70.1,57.9,0.057,-,-,tracking,signal_tracking_20260730.csv,1.0,,,,0.96,-1.2,0.96,-1.2,0.0,0.24,,0.96,-1.2
2026-07-30,1104.TW,環泥,26.85,趨勢突破,86.0,A強勢追蹤,0.34,>MA5,糾結,44.1,34.3,17.6,24.4,0.044,趨勢突破,2.0,tracking,signal_tracking_20260730.csv,,,,,,,,,,,,,
2026-07-30,1218.TW,泰山,16.0,跳空、黃金交叉、MACD翻正、趨勢突破,66.0,B可追蹤,-2.15,>MA5,空頭,23.0,21.8,9.5,12.8,0.007,趨勢突破,1.5,tracking,signal_tracking_20260730.csv,,,,,,,,,,,,,
2026-07-30,1476.TW,儒鴻,338.5,週黃金交叉,66.0,B可追蹤,1.79,>MA5,糾結,54.7,53.5,45.5,43.5,0.5498,-,-,tracking,signal_tracking_20260730.csv,,,,,,,,,,,,,
2026-07-30,1477.TW,聚陽,222.0,MACD翻正,62.0,C觀察,0.72,>MA5,糾結,60.5,42.0,42.7,46.4,0.0257,-,-,tracking,signal_tracking_20260730.csv,,,,,,,,,,,,,
2026-07-30,1526.TW,日馳,18.9,漲幅達標、黃金交叉,84.0,A強勢追蹤,9.32,>MA5,多頭,71.8,66.7,63.3,44.6,0.3042,-,-,tracking,signal_tracking_20260730.csv,,,,,,,,,,,,,
2026-07-30,1598.TW,岱宇,20.75,跳空、即將黃金交叉、週黃金交叉、趨勢突破,100.0,A強勢追蹤,2.82,>MA5,糾結,57.8,58.3,40.9,33.4,0.1127,趨勢突破,25.46,tracking,signal_tracking_20260730.csv,,,,,,,,,,,,,
2026-07-30,1808.TW,潤隆,32.45,即將黃金交叉,59.0,C觀察,2.1,>MA5,糾結,63.2,64.4,74.2,66.2,0.0378,-,-,tracking,signal_tracking_20260730.csv,,,,,,,,,,,,,
2026-07-30,1907.TW,永豐餘,28.45,黃金交叉,69.0,B可追蹤,1.27,>MA5,多頭,43.1,39.7,74.9,70.5,-0.0625,-,-,tracking,signal_tracking_20260730.csv,,,,,,,,,,,,,
2026-07-30,2002.TW,中鋼,18.95,週黃金交叉,63.0,C觀察,0.43,MA5~10,多頭,59.8,63.0,32.2,30.1,0.0504,-,-,tracking,signal_tracking_20260730.csv,,,,,,,,,,,,,
2026-07-30,2025.TW,千興,12.45,趨勢突破,87.0,A強勢追蹤,0.54,>MA5,糾結,65.3,49.0,25.0,34.3,0.0617,趨勢突破,2.84,tracking,signal_tracking_20260730.csv,,,,,,,,,,,,,
2026-07-30,2027.TW,大成鋼,43.25,週黃金交叉,68.0,B可追蹤,0.64,MA5~10,多頭,63.7,69.2,59.7,56.7,0.2992,-,-,tracking,signal_tracking_20260730.csv,,,,,,,,,,,,,
2026-07-30,2332.TW,友訊,24.0,週即將黃金交叉,78.0,A強勢追蹤,7.0,>MA5,多頭,66.4,57.6,73.2,74.8,-0.0541,-,-,tracking,signal_tracking_20260730.csv,,,,,,,,,,,,,
2026-07-30,2357.TW,華碩,761.0,即將黃金交叉,65.0,B可追蹤,3.12,>MA5,多頭,74.4,75.6,36.5,41.9,7.5305,-,-,tracking,signal_tracking_20260730.csv,,,,,,,,,,,,,
2026-07-30,2385.TW,群光,104.5,黃金交叉、趨勢突破,66.0,B可追蹤,-0.47,>MA5,空頭,46.0,44.9,13.7,22.6,0.6646,趨勢突破,1.18,tracking,signal_tracking_20260730.csv,,,,,,,,,,,,,
2026-07-30,2412.TW,中華電,140.5,週黃金交叉,68.0,B可追蹤,0.19,>MA5,多頭,82.4,77.8,47.7,47.7,0.5796,-,-,tracking,signal_tracking_20260730.csv,,,,,,,,,,,,,
2026-07-30,2504.TW,國產,31.8,黃金交叉、週即將黃金交叉、趨勢突破,94.0,A強勢追蹤,-0.17,>MA5,糾結,58.6,54.4,19.6,20.9,0.1428,趨勢突破,0.94,tracking,signal_tracking_20260730.csv,,,,,,,,,,,,,
2026-07-30,2520.TW,冠德,35.1,黃金交叉,70.0,B可追蹤,0.3,>MA5,糾結,40.9,40.2,71.2,70.1,-0.1767,-,-,tracking,signal_tracking_20260730.csv,,,,,,,,,,,,,
2026-07-30,2530.TW,華建,20.65,趨勢突破,100.0,A強勢追蹤,1.9,>MA5,多頭,70.6,64.6,64.9,50.1,0.1208,趨勢突破,2.87,tracking,signal_tracking_20260730.csv,,,,,,,,,,,,,
2026-07-30,2540.TW,愛山林,57.8,週黃金交叉,92.0,A強勢追蹤,2.99,>MA5,多頭,69.3,58.9,55.3,45.7,0.3661,-,-,tracking,signal_tracking_20260730.csv,,,,,,,,,,,,,
2026-07-30,2548.TW,華固,99.1,黃金交叉、趨勢突破,100.0,A強勢追蹤,0.31,>MA5,多頭,75.5,74.5,16.0,12.9,0.5765,趨勢突破,0.75,tracking,signal_tracking_20260730.csv,,,,,,,,,,,,,
2026-07-30,2610.TW,華航,21.7,MACD翻正,61.0,C觀察,0.11,>MA5,糾結,61.2,52.3,49.8,60.4,0.0076,-,-,tracking,signal_tracking_20260730.csv,,,,,,,,,,,,,
2026-07-30,2615.TW,萬海,85.0,即將黃金交叉,58.0,C觀察,1.65,>MA5,多頭,63.1,64.7,67.0,61.8,0.4421,-,-,tracking,signal_tracking_20260730.csv,,,,,,,,,,,,,
2026-07-30,2633.TW,台灣高鐵,26.3,黃金交叉,69.0,B可追蹤,0.2,>MA5,糾結,65.7,57.0,64.9,59.5,-0.0077,-,-,tracking,signal_tracking_20260730.csv,,,,,,,,,,,,,
2026-07-30,2801.TW,彰銀,24.75,黃金交叉,57.0,C觀察,1.59,>MA5,多頭,81.0,77.7,91.0,82.6,-0.0118,-,-,tracking,signal_tracking_20260730.csv,,,,,,,,,,,,,
2026-07-30,2845.TW,遠東銀,13.4,黃金交叉,64.0,C觀察,0.93,>MA5,多頭,53.7,50.0,83.1,73.8,-0.0278,-,-,tracking,signal_tracking_20260730.csv,,,,,,,,,,,,,
2026-07-30,2849.TW,安泰銀,15.35,黃金交叉、週黃金交叉、MACD翻正,100.0,A強勢追蹤,2.42,>MA5,糾結,68.3,60.3,87.6,86.6,0.0163,-,-,tracking,signal_tracking_20260730.csv,,,,,,,,,,,,,
2026-07-30,2867.TW,三商壽,9.37,即將黃金交叉,60.0,C觀察,2.82,>MA5,多頭,64.0,66.9,84.2,78.0,0.0121,-,-,tracking,signal_tracking_20260730.csv,,,,,,,,,,,,,
2026-07-30,2880.TW,華南金,41.8,即將黃金交叉,60.0,C觀察,2.98,>MA5,多頭,83.7,85.8,89.9,80.3,0.069,-,-,tracking,signal_tracking_20260730.csv,,,,,,,,,,,,,
2026-07-30,2884.TW,玉山金,36.5,黃金交叉,82.0,A強勢追蹤,2.38,>MA5,多頭,69.6,68.9,77.5,68.6,0.0868,-,-,tracking,signal_tracking_20260730.csv,,,,,,,,,,,,,
2026-07-30,2889.TW,國票金,15.65,黃金交叉,74.0,B可追蹤,1.16,>MA5,糾結,47.3,44.6,72.3,67.0,-0.0437,-,-,tracking,signal_tracking_20260730.csv,,,,,,,,,,,,,
2026-07-30,2892.TW,第一金,35.45,MACD翻正,71.0,B可追蹤,2.78,>MA5,多頭,84.4,80.8,92.4,84.0,0.0094,-,-,tracking,signal_tracking_20260730.csv,,,,,,,,,,,,,
2026-07-30,2903.TW,遠百,22.35,趨勢突破,89.0,A強勢追蹤,0.73,>MA5,糾結,63.7,61.5,29.9,35.7,0.0306,趨勢突破,1.82,tracking,signal_tracking_20260730.csv,,,,,,,,,,,,,
2026-07-30,2912.TW,統一超,241.0,黃金交叉,59.0,C觀察,1.7,>MA5,糾結,47.6,46.5,72.8,64.9,-0.7201,-,-,tracking,signal_tracking_20260730.csv,,,,,,,,,,,,,
2026-07-30,3231.TW,緯創,169.5,週即將黃金交叉,71.0,B可追蹤,2.12,MA5~10,多頭,73.1,70.4,43.3,43.4,2.9951,-,-,tracking,signal_tracking_20260730.csv,,,,,,,,,,,,,
2026-07-30,3260.TWO,威剛,394.0,週即將黃金交叉、MACD翻正,71.0,B可追蹤,0.61,>MA5,糾結,65.5,55.9,31.1,31.1,0.6067,-,-,tracking,signal_tracking_20260730.csv,,,,,,,,,,,,,
2026-07-30,3543.TW,州巧,30.05,漲幅達標、週黃金交叉、MACD翻正,64.0,C觀察,2.9,>MA5,空頭,41.4,22.5,19.3,15.4,0.0151,-,-,tracking,signal_tracking_20260730.csv,,,,,,,,,,,,,
2026-07-30,4904.TW,遠傳,106.5,週黃金交叉,68.0,B可追蹤,1.43,>MA5,多頭,80.2,76.9,58.8,56.7,0.8373,-,-,tracking,signal_tracking_20260730.csv,,,,,,,,,,,,,
2026-07-30,4976.TW,佳凌,37.7,漲幅達標、MACD翻正、趨勢突破,100.0,A強勢追蹤,4.62,>MA5,糾結,56.5,32.2,39.9,48.6,0.031,趨勢突破,3.93,tracking,signal_tracking_20260730.csv,,,,,,,,,,,,,
2026-07-30,5490.TWO,同亨,33.15,週黃金交叉,88.0,A強勢追蹤,2.7,>MA5,多頭,67.1,64.3,61.2,56.6,0.2506,-,-,tracking,signal_tracking_20260730.csv,,,,,,,,,,,,,
2026-07-30,5531.TW,鄉林,7.9,週即將黃金交叉、MACD翻正、趨勢突破,100.0,A強勢追蹤,0.47,>MA5,空頭,49.8,39.9,24.1,26.5,0.0029,趨勢突破,2.98,tracking,signal_tracking_20260730.csv,,,,,,,,,,,,,
2026-07-30,5904.TWO,寶雅,72.0,週即將黃金交叉、MACD翻正,82.0,A強勢追蹤,4.19,>MA5,糾結,66.8,50.8,65.8,68.5,0.1748,-,-,tracking,signal_tracking_20260730.csv,,,,,,,,,,,,,
2026-07-30,6603.TWO,富強鑫,26.2,MACD翻正、趨勢突破,100.0,A強勢追蹤,2.52,>MA5,糾結,75.5,59.0,62.0,53.4,0.0633,趨勢突破,2.85,tracking,signal_tracking_20260730.csv,,,,,,,,,,,,,
2026-07-30,6620.TWO,漢達,96.3,漲幅達標、跳空、週黃金交叉,62.0,C觀察,2.55,>MA5,糾結,58.8,39.8,60.0,58.6,-0.3748,-,-,tracking,signal_tracking_20260730.csv,,,,,,,,,,,,,
